product_name,product_description,count_of_ratings,product_price,regular_price,product_url,Cena jednostkowa,Działanie,Składniki,Ocena
Revox Just Daily Sun Shield,"krem przeciwsłoneczny do twarzy SPF50, 30 ml",(1190),24.49,34.99,/revox-krem-przeciwsloneczny-do-twarzy-spf50-30-ml-000000000000387034.html,"81,63 zł
/100ml",Ochrona UV,"Water / Aqua, Octocrylene, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Ethylhexyl Triazone, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Di-C12-13 Alkyl Malate, Diisopropyl Adipate, Mineral Oil / Paraffinum Liquidum, Glycerin, Cetearyl Alcohol, Glycol Cetearate, Glyceryl Stearate, Ceteareth-20, Ceteareth-12, Cetyl Palmitate, Sodium Hyaluronate, Phenoxyethanol, Allantoin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Fragrance / Parfum, Hexyl Cinnamal, Benzyl Salicylate, Limonene, Anise Alcohol.",4.6
Holika Holika Aloe Water Proof Sun Gel,"wodoodporny krem-żel przeciwsłoneczny do twarzy SPF50 PA++++, 100 ml",(548),89.99,89.99,/holika-holika-wodoodporny-krem-zel-przeciwsloneczny-do-twarzy-spf50-pa-100-ml-000000000000390581.html,"89,99 zł
/100ml","Kojące,
Natłuszczające,
Nawilżające,
Ochrona UV,
Ochronne,
Odżywcze,
Regenerujące","WATER DIBUTYL ADIPATE PROPANEDIOL DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE POLYMETHYLSILSESQUIOXANE ETHYLHEXYL TRIAZONE NIACINAMIDE METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL COCO-CAPRYLATE/CAPRATE CAPRYLYL METHICONE DIETHYLHEXYL BUTAMIDO TRIAZONE GLYCERIN BUTYLENE GLYCOL 1,2-HEXANEDIOL PENTYLENE GLYCOL BEHENYL ALCOHOL POLY C10-30 ALKYL ACRYLATE POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE DECYL GLUCOSIDE TROMETHAMINE CARBOMER FRAGRANCE ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER SODIUM STEAROYL GLUTAMATE POLYACRYLATE CROSSPOLYMER-6 ETHYLHEXYLGLYCERIN ADENOSINE XANTHAN GUM T-BUTYL ALCOHOL TOCOPHEROL HIPPOPHAE RHAMNOIDES FRUIT EXTRACT ASCORBIC ACID DAUCUS CAROTA SATIVA (CARROT) ROOT EXTRACT ROSA CANINA FRUIT EXTRACT PYRUS MALUS (APPLE) FRUIT EXTRACT PRUNUS ARMENIACA (APRICOT) JUICE MORINGA OLEIFERA SEED OIL CERAMIDE NP PHYTOSPHINGOSINE ALOE FEROX LEAF EXTRACT HYDROGENATED LECITHIN ARTEMISIA CAPILLARIS EXTRACT",4.4
Skin79 Waterproof Sun Gel UV,"lekki krem przeciwsłoneczny do twarzy z SPF50 PA++++, 50 ml",(323),64.99,64.99,/skin79-lekki-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-50-ml-000000000000308192.html,"129,98 zł
/100ml","Nawilżające,
Ochronne","Water,Ethylhexyl Methoxycinnamate,Ethylhexyl Salicylate,Homosalate,Propanediol,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Pentylene Glycol,1,2-Hexanediol,Ammonium Acryloyldimethyl taurate/VP copolymer,Octyldodecanol,Dimethicone,Phenoxyethanol,Glyceryl Stearate,Fragrance (Limonene, Linalool, Citronellol, Citral, Hydroxycitronellal),Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Tromethamine,Polyglyceryl-3 Methylglucose Distearate,Polysorbate 20,PEG-100 Stearate,Helianthus Annuus (Sunflower) Seed Oil,Calendula Officinalis Flower Extract,Houttuynia Cordata Extract,Aloe Barbadensis Leaf Water,Centella Asiatica Extract,Chamomilla Recutita (Matricaria) Flower Extract,Butylene Glycol,Caprylyl Glycol",4.7
Skin79 Waterproof Sun Gel UV,"lekki krem przeciwsłoneczny do twarzy z SPF50 PA++++, 100 ml",(95),84.99,84.99,/skin79-lekki-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-100-ml-000000000000435701.html,"84,99 zł
/100ml",Ochrona UV,"Water,Ethylhexyl Methoxycinnamate,Ethylhexyl Salicylate,Homosalate,Propanediol,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Pentylene Glycol,1,2-Hexanediol,Ammonium Acryloyldimethyltaurate/VP Copolymer,Octyldodecanol,Dimethicone,Phenoxyethanol,Glyceryl Stearate,Fragrance (Limonene, Linalool, Citronellol, Citral, Hydroxycitronellal),Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Tromethamine,Polyglyceryl-3 Methylglucose Distearate,Polysorbate 20,PEG-100 Stearate,Helianthus Annuus (Sunflower) Seed Oil,Calendula Officinalis Flower Extract,Houttuynia Cordata Extract,Aloe Barbadensis Leaf Water,Centella Asiatica Extract,Chamomilla Recutita (Matricaria) Flower Extract,Butylene Glycol,Caprylyl Glycol",5.0
Dermedic Hydrain3 Hialuro,"ultranawilżający krem-żel do twarzy, 50 g",(316),24.99,37.99,/dermedic-krem-zel-do-twarzy-50g-000000000000273818.html,"0,50 zł
/1g","Nawilżające,
Regenerujące,
Ujędrniające,
Wygładzające","Aqua, Caprylic/Capric Triglyceride, Glycerin, Urea, Methylpropanediol, Isocetyl Stearate, Sodium Hyaluronate, Betaine, Cetyl Alcohol, Squalane, Tocopheryl Acetate, Trehalose, Sodium Hyaluronate Crosspolymer, Propanediol, Hydrolyzed Glycosaminoglycans, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Benzyl Glycol, Raspberry Ketone, Polyacrylamide, C13-14 Isoparaffin, Laureth-7, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Phenoxyethanol, Ethylhexylglycerin, Iodopropynyl Butylcarbamate, Parfum, CI 42090",4.4
L'Oréal Paris Revitalift Clinical,"rozświetlający krem z witaminą C i SPF50 do twarzy na dzień, 50 ml",(10),47.99,58.99,/loreal-paris-rozswietlajacy-krem-z-witamina-c-i-spf50-do-twarzy-na-dzien-50-ml-000000000000434916.html,"95,98 zł
/100ml","Nawilżające,
Ochrona UV,
Rozświetlające","Aqua/Water, Alcohol Denat., Diisopropyl Sebacate, Silica, Isopropyl Myristate, Ethylhexyl Salicylate, Ethylhexyl Triazone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butyl Methoxydibenzoylmethane, Glycerin, Propanediol, C12-22 Alkyl Acrylate/Hydroxyethylacrylate Copolymer, Drometrizole Trisiloxane, Perlite, Caprylic/Capric Triglyceride, Tocopherol, Ascorbyl Glucoside, Hydroxyacetophenone, Hydroxyethylcellulose, Sodium Hyaluronate, Triethanolamine, Trisodium Ethylenediamine Disuccinate, Caprylyl Glycol, Terephthalylidene Dicamphor Sulfonic Acid, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum/Fragrance (F.I.L. Z70013153/1)",4.9
Lirene Coconut Shine,"rozświetlający krem do twarzy i ciała, 150 ml",(27),27.49,27.49,/lirene-rozswietlajacy-krem-do-twarzy-i-ciala-150-ml-000000000000383540.html,"18,33 zł
/100ml",Rozświetlające,"Aqua (Water),Glycerin,Mica,Isononyl Isononanoate,Dimethicone,C15-19 Alkane,Pentylene Glycol,CI 77891 (Titanium Dioxide),Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Cocos Nucifera Water,C13-15 Alkane,Isohexadecane,Canola (Canola) Oil,Prunus Amygdalus Dulcis (Sweet Almond) Oil,Hydroxyacetophenone,Sodium Stearoyl Glutamate,Dimethicone Crosspolymer,Polysorbate 80,Sorbitan Oleate,Citric Acid,Potassium Sorbate,Sodium Benzoate,Parfum (Fragrance),Coumarin,CI 77491 (Iron Oxides),CI 77492 (Iron Oxides),CI 77499 (Iron Oxides)",4.8
The Saem Jeju Fresh Aloe,"krem do twarzy z filtrem SPF50+, 50 g",(35),69.99,69.99,/the-saem-krem-do-twarzy-z-filtrem-spf50-50-g-000000000000423703.html,"1,40 zł
/1g","Kojące,
Łagodzące,
Ochrona UV","Water, Dibutyl Adipate, Propanediol, Alcohol Denat., Ethyl hexyl Triazone, Terephthalylidene Dicamphor Sulfonic Acid, Glycerin, Niacinamide, Polyglyceryl-3 Distea rate, Tromethamine, 1,2-Hexanediol, Pentylene Glycol, Diethylamino Hydro xybenzoyl Hexyl Benzoate, Cetearyl Alcohol, Caprylyl Methicone, Poly silicone-15, Aloe Barbadensis Leaf Extract, Melissa O¬cinalis Leaf Extract, Rosmarinus O¬cinalis (Rosemary) Leaf Extract, Ocimum Basilicum (Basil) Leaf Extract, Taraxacum O-cinale (Dandelion) Leaf Extract, Anthemis Nobilis Flower Extract, Calendula O¬cinalis Flower Extract, Nelumbo Nucifera Flower Water, Caprylic/Capric /Succinic Triglyceride, Palmitic Acid, Glyceryl Stearate, Bis-Ethylhexyloxy phenol Methoxyphenyl Triazine, Potassium Cetyl Phosphate, Poly methylsilsesquioxane, Stearic Acid, Methylpropanediol, Ammonium Acryloyldimethyltaurate/VP Copoly mer, Silica, Ethylhexylglycerin, Poly acrylate Crosspolymer-6, Glyceryl Stearate Citrate, Adenosine, Butylene Glycol, Disodium EDTA, Sodium Poly acrylate, Polyether-1, Myristic Acid, t-Butyl Alcohol, Biosaccharide Gum-1, Tocopherol, Fragrance",4.9
Lirene Sun,"krem ochronny z SPF50 do twarzy, 40 ml",(147),23.99,23.99,/lirene-nawilzajacy-ochronny-krem-do-twarzy-spf-50-40ml-000000000000357025.html,"59,98 zł
/100ml",,"Aqua (Water),Dibutyl Adipate,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Ethylhexyl Salicylate,Salicylate,Ethylhexyl Triazone,Coco-Caprylate,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Glycerin,Dicaprylyl Carbonate,Cetearyl Alcohol,Potassium Cetyl Phosphate,Glyceryl Stearate,1,2-Hexanediol,Acrylates/C12-22 Alkyl Methacrylate Copolymer,Butyloctyl Salicylate,Dimethicone,Glyceryl Stearate SE,Allantoin,Laminaria Ochroleuca Extract,Hydroxyacetophenone,Tocopheryl Acetate,Tocopherol,Undecane,Tridecane,Caprylic/Capric Triglyceride,Acacia Senegal Gum,Xanthan Gum,Hectorite,Hydroxyethylcellulose,Coco-Glucoside,Disodium Lauryl Arginine,Sulfosuccinate,Citric Acid",4.1
Ziaja Witamina C.B3,"krem do twarzy na przebudzenie, 50 ml",(13),12.29,12.29,/ziaja-krem-do-twarzy-na-przebudzenie-50-ml-000000000000438360.html,"24,58 zł
/100ml",Rozjaśniające,"Aqua (Water), Octyldodecanol, Coco-Caprylate/Caprate, Glyceryl Stearate, PEG-100 Stearate, Cetyl Alcohol, Dimethicone, Propylene Glycol, Butyrospermum Parkii (Shea) Butter, Hydrolyzed Rice Protein, Niacinamide, Calcium Pantothenate, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Pyridoxine HCl, Maltodextrin, Sodium Starch Octenylsuccinate, Silica, Camellia Japonica Seed Oil, Carbomer, Disodium EDTA, Phenoxyethanol, Hydroxyacetophenone, Parfum (Fragrance), Linalool, Geraniol, Limonene, Sodium Hydroxide.",5.0
