product_name,product_description,product_rating,product_price,regular_price,product_url
Revox Just Daily Sun Shield,"krem przeciwsłoneczny do twarzy SPF50, 30 ml",(1190),24.49,34.99,/revox-krem-przeciwsloneczny-do-twarzy-spf50-30-ml-000000000000387034.html
Holika Holika Aloe Water Proof Sun Gel,"wodoodporny krem-żel przeciwsłoneczny do twarzy SPF50 PA++++, 100 ml",(548),89.99,89.99,/holika-holika-wodoodporny-krem-zel-przeciwsloneczny-do-twarzy-spf50-pa-100-ml-000000000000390581.html
Skin79 Waterproof Sun Gel UV,"lekki krem przeciwsłoneczny do twarzy z SPF50 PA++++, 50 ml",(323),64.99,64.99,/skin79-lekki-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-50-ml-000000000000308192.html
Skin79 Waterproof Sun Gel UV,"lekki krem przeciwsłoneczny do twarzy z SPF50 PA++++, 100 ml",(95),84.99,84.99,/skin79-lekki-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-100-ml-000000000000435701.html
Dermedic Hydrain3 Hialuro,"ultranawilżający krem-żel do twarzy, 50 g",(316),24.99,37.99,/dermedic-krem-zel-do-twarzy-50g-000000000000273818.html
L'Oréal Paris Revitalift Clinical,"rozświetlający krem z witaminą C i SPF50 do twarzy na dzień, 50 ml",(10),47.99,58.99,/loreal-paris-rozswietlajacy-krem-z-witamina-c-i-spf50-do-twarzy-na-dzien-50-ml-000000000000434916.html
Lirene Coconut Shine,"rozświetlający krem do twarzy i ciała, 150 ml",(27),27.49,27.49,/lirene-rozswietlajacy-krem-do-twarzy-i-ciala-150-ml-000000000000383540.html
The Saem Jeju Fresh Aloe,"krem do twarzy z filtrem SPF50+, 50 g",(35),69.99,69.99,/the-saem-krem-do-twarzy-z-filtrem-spf50-50-g-000000000000423703.html
Lirene Sun,"krem ochronny z SPF50 do twarzy, 40 ml",(147),23.99,23.99,/lirene-nawilzajacy-ochronny-krem-do-twarzy-spf-50-40ml-000000000000357025.html
Ziaja Witamina C.B3,"krem do twarzy na przebudzenie, 50 ml",(13),12.29,12.29,/ziaja-krem-do-twarzy-na-przebudzenie-50-ml-000000000000438360.html
Cetaphil PS,"lipoaktywny krem nawilżający, 100 g",(114),49.99,57.99,/cetaphil-krem-nawilzajacy-100g-000000000000357851.html
Nacomi Next Level,"nawilżający krem do twarzy SPF50 basic, 50 ml",(322),23.99,36.99,/nacomi-nawilzajacy-krem-do-twarzy-spf50-basic-50-ml-000000000000385252.html
Bielenda Professional SupremeLab,"intensywnie odżywczy krem z ceramidami do twarzy na noc, 50 ml",(164),77.99,77.99,/bielenda-professional-intensywnie-odzywczy-krem-z-ceramidami-do-twarzy-na-noc-50-ml-000000000000370079.html
Ziaja Med.,"krem matujący SPF50+ do twarzy, 50 ml",(128),28.99,28.99,/ziaja-med.-krem-matujacy-spf50-do-twarzy-50-ml-000000000000387597.html
Basiclab Famillias,"nawilżający krem o bogatej konsystencji do twarzy, 75 ml",(140),39.99,39.99,/basiclab-nawilzajacy-krem-o-bogatej-konsystencji-do-twarzy-75-ml-000000000000383401.html
Tołpa Estetic,"intensywny zabieg rozjaśniający przebarwienia, 1 zabieg",(22),14.99,21.99,/tolpa-intensywny-zabieg-rozjasniajacy-przebarwienia-1-zabieg-000000000000363643.html
Embryolisse,"odżywczo-nawilżający krem do twarzy, 30 ml",(11),39.99,54.99,/embryolisse-odzywczo-nawilzajacy-krem-do-twarzy-30-ml-000000000000370359.html
