product_name,product_description,product_rating,product_price,regular_price,product_url
Filorga Universal,"uniwersalny krem do twarzy i ciała, 100 ml",,98.57,98.57,/filorga-uniwersalny-krem-do-twarzy-i-ciala-100-ml-49288202.html
Nivea 24h Nawilżenia,"regenerujący i odżywczy krem do twarzy na noc, 50 ml",(5),25.59,25.99,/nivea-regenerujacy-i-odzywczy-krem-do-twarzy-na-noc-50-ml-000000000000367298.html
A-Derma Epitheliale A.H. Ultra,"krem z filtrem SPF50+ do twarzy, 40 ml",(1),68.79,85.99,/a-derma-krem-z-filtrem-spf50-do-twarzy-40-ml-000000000000421526.html
Eveline Cosmetics Pro-Retinol,"krem do twarzy 60+ na dzień i noc, 50 ml",(3),42.99,42.99,/eveline-cosmetics-krem-do-twarzy-60-na-dzien-i-noc-50-ml-000000000000406870.html
A-Derma Phys-AC,"kompensujący krem odżywczy, 40 ml",(1),64.99,64.99,/a-derma-kompensujacy-krem-odzywczy-40-ml-000000000000371733.html
Lirene,"krem wyrównujący koloryt skóry, 50 ml",(3),25.99,25.99,/lirene-krem-wyrownujacy-koloryt-skory-50-ml-000000000000415024.html
Cosnature Granat,"odżywczy krem do twarzy na noc, 50 ml",(4),19.59,27.99,/cosnature-odzywczy-krem-do-twarzy-na-noc-50-ml-000000000000294974.html
A-Derma Exomega Control,"nawilżająco-zmiękczający krem do twarzy i ciała, 400 ml",(1),119.99,119.99,/a-derma-krem-do-twarzy-ciala-400ml-000000000000230944.html
L'Oréal Paris Age Perfect Cell Renew,"przeciwzmarszczkowy krem do twarzy na noc, 50 ml",(3),91.99,91.99,/loreal-paris-przeciwzmarszczkowy-krem-do-twarzy-na-noc-50-ml-000000000000410378.html
Aloesove Roślinna receptura,"nawilżający krem do twarzy na dzień, 50 ml",(2),27.99,34.99,/aloesove-nawilzajacy-krem-do-twarzy-na-dzien-50-ml-000000000000362688.html
Yasumi Stop The Clock,"krem odmładzający do twarzy, 50 ml",(2),80.49,114.99,/yasumi-krem-odmladzajacy-do-twarzy-50-ml-000000000000384065.html
iUNIK Beta Glucan,"zestaw łagodzący: serum od twarzy, 15 ml + krem do twarzy, 60 ml",,84.9,84.9,/iunik-zestaw-lagodzacy-serum-od-twarzy-15-ml-krem-do-twarzy-60-ml-54532253.html
Aloesove Roślinna receptura,"odżywczy krem do twarzy na noc, 50 ml",(1),28.79,35.99,/aloesove-odzywczy-krem-do-twarzy-na-noc-50-ml-000000000000362687.html
Clarena Sensitive Line,"krem do twarzy z 3 rodzajami komórek macierzystych, 50 ml",,142.0,142.0,/clarena-krem-do-twarzy-z-3-rodzajami-komorek-macierzystych-50-ml-46057884.html
La-Le,"ochronny krem do twarzy SPF50, 50 ml",(1),75.99,94.99,/la-le-ochronny-krem-do-twarzy-spf50-50-ml-000000000000420187.html
Teaology Biała herbata,"udoskonalający krem do twarzy i szyi, 50 ml",(2),99.99,129.99,/teaology-udoskonalajacy-krem-do-twarzy-i-szyi-50-ml-000000000000312369.html
Miraculum Collagen,"krem-maska do twarzy na noc, 50 ml",(1),38.49,38.49,/miraculum-krem-maska-do-twarzy-na-noc-50-ml-000000000000434248.html
Nuxe Bio Organic,"lekki krem korygujący o działaniu nawilżającym z algami morskimi, 50 ml",,138.99,138.99,/nuxe-lekki-krem-korygujacy-o-dzialaniu-nawilzajacym-z-algami-morskimi-50-ml-48632594.html
Haruharu Wonder Black Rice Hyaluronic Cream,"hialuronowy krem do twarzy z ekstraktem z czarnego ryżu, 90 ml",,149.9,149.9,/haruharu-wonder-hialuronowy-krem-do-twarzy-z-ekstraktem-z-czarnego-ryzu-90-ml-47911424.html
Kiko Milano Sebo Balance,"żelowy krem oczyszczający i matujący do twarzy, 50 ml",,86.0,86.0,/kiko-milano-zelowy-krem-oczyszczajacy-i-matujacy-do-twarzy-50-ml-44156761.html
A-Derma Xeraconfort,"odżywczy krem przeciw wysuszaniu skóry, 400 ml",(4),99.99,99.99,/a-derma-odzywczy-krem-przeciw-wysuszaniu-skory-400-ml-000000000000371729.html
Yoskine Bio Collagen,"krem do twarzy 50+ na dzień, 50 ml",,59.99,59.99,/yoskine-krem-do-twarzy-50-na-dzien-50-ml-000000000000382639.html
Yoskine Geisha Gold Secret,"krem do twarzy na dzień i noc 55+, 50 ml",,65.99,65.99,/yoskine-krem-do-twarzy-na-dzien-i-noc-55-50-ml-000000000000372707.html
Korres Wild Rose,"nawilżający krem do twarzy na dzień z wit. C, 40 ml",,129.99,129.99,/korres-nawilzajacy-krem-do-twarzy-na-dzien-z-wit.-c-40-ml-47924538.html
iUNIK Centella,"zestaw kojąco-nawilżający: serum do twarzy, 15 ml + krem do twarzy, 60 ml",,84.9,84.9,/iunik-zestaw-kojaco-nawilzajacy-serum-do-twarzy-15-ml-krem-do-twarzy-60-ml--54532311.html
Lambre Ultra Hyaluronic,"intensywnie nawilżający krem do twarzy na noc z kwasem hialuronowym, 50 ml, airless",,52.99,69.99,/lambre-intensywnie-nawilzajacy-krem-do-twarzy-na-noc-z-kwasem-hialuronowym-50-ml-airless-40000035.html
Shiseido Benefiance,"emulsja do twarzy wygładzająca zmarszczki na dzień z SPF20, 75 ml",,349.98,349.98,/shiseido-emulsja-do-twarzy-wygladzajaca-zmarszczki-na-dzien-z-spf20-75-ml-49829725.html
Missha Calendula,"nawilżający krem do twarzy, 50 ml",,119.99,119.99,/missha-nawilzajacy-krem-do-twarzy-50-ml-000000000000420843.html
Gamarde Cica Repair,"krem naprawczy do twarzy, 40 ml",,44.99,44.99,/gamarde-krem-naprawczy-do-twarzy-40-ml-000000000000463561.html
Lambre Ultra Hyaluronic,"intensywnie nawilżający krem do twarzy na dzień z kwasem hialuronowym, 50 ml",(1),48.99,64.99,/lambre-intensywnie-nawilzajacy-krem-do-twarzy-na-dzien-z-kwasem-hialuronowym-50-ml-40000033.html
Lambre Anti Redness,"odbudowujący krem do twarzy do cery naczynkowej z SPF15, 50 ml",,59.99,80.98,/lambre-odbudowujacy-krem-do-twarzy-do-cery-naczynkowej-z-spf15-50-ml-40000008.html
Yoskine Bio Collagen,"krem do twarzy 50+ na noc, 50 ml",(1),59.99,59.99,/yoskine-krem-do-twarzy-50-na-noc-50-ml-000000000000382640.html
Korres Greek Yoghurt,"krem intensywnie nawilżający do twarzy z greckim jogurtem, 40 ml",,99.99,99.99,/korres-krem-intensywnie-nawilzajacy-do-twarzy-z-greckim-jogurtem-40-ml-42986215.html
VT Cosmetics Cica RETI-A,"ujędrniający krem do twarzy z 0,05% retinolem, 30 ml",,109.9,109.9,/vt-cosmetics-ujedrniajacy-krem-do-twarzy-z-005-retinolem-30-ml-57582694.html
Mario Badescu Mineral Sunscreen,"lekki mineralny krem z SPF30 do twarzy, 42 ml",,189.99,189.99,/mario-badescu-lekki-mineralny-krem-z-spf30-do-twarzy-42-ml-000000000000459426.html
Dr.Hauschka,"regenerujący krem do twarzy na dzień, 40 ml",(3),303.99,319.99,/dr.hauschka-regenerujacy-krem-do-twarzy-na-dzien-40-ml-000000000000407235.html
La-Le,"ochronny krem do twarzy z filtrem SPF30, 50 ml",,63.99,79.99,/la-le-ochronny-krem-do-twarzy-z-filtrem-spf30-50-ml-000000000000420310.html
Lirene Green Retinol,"odbudowujący krem do twarzy na noc, 50 ml",(1),29.99,29.99,/lirene-odbudowujacy-krem-do-twarzy-na-noc-50-ml-000000000000413566.html
Payot Creme N°2 Nuage,"kojący zaczerwienienia krem do twarzy, 50 ml",,129.99,129.99,/payot-kojacy-zaczerwienienia-krem-do-twarzy-50-ml-49918367.html
