product_name,product_description,count_of_ratings,product_price,regular_price,product_url,effect,ingredients,rating,capacity,regular_unit_price_100ml,promotion_unit_price_100ml,brand,discount,lemmatized_ingredients
Dermedic Oilage,"odżywczy krem do twarzy na dzień, 50 g",15,55.99,69.99,/dermedic-odzywczy-krem-do-twarzy-na-dzien-50g-000000000000306970.html,odżywczy,"Aqua, Glycine Soja Oil, Squalane, Cynara Scolymus Leaf Extract, Sodium Hyaluronate, Glycerin, Glycine Soja Seed Extract, Propylene Glycol, Sorbitol, Persea Gratissima Oil, Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone, Methoxy PEG/PPG-25/4 Dimethicone, Caprylic/Capric Triglyceride, Oenothera Biennis Oil, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Helianthus Annuus Seed Oil, Daucus Carota Sativa Root Extract, Daucus Carota Sativa Seed Oil, Beta-Carotene, Lithospermum Officinale Root Extract, Octyldodecyl Myristate, Phenoxyethanol, Ethylhexylglycerin, DMDM Hydantoin, Iodopropynyl Butylcarbamate, Parfum",4.9,50.0,139.98,111.98,Dermedic,20.00285755107872,"water, glycine soja oil, squalane, cynara scolymus leaf extract, sodium hyaluronate, glycerin, glycine soja seed extract, propylene glycol, sorbitol, persea gratissima oil, bis - peg,ppg-20/5 peg,ppg-20/5 dimethicone, methoxy peg,ppg-25/4 dimethicone, caprylic,capric triglyceride, oenothera biennis oil, tocopheryl acetate, acrylates,c10 - 30 alkyl acrylate crosspolymer, triethanolamine, helianthus annuus seed oil, daucus carota sativa root extract, daucus carota sativa seed oil, beta - carotene, lithospermum officinale root extract, octyldodecyl myristate, phenoxyethanol, ethylhexylglycerin, dmdm hydantoin, iodopropynyl butylcarbamate, parfum"
Bandi Well Aging,"aksamitnie nawilżający krem do twarzy, 50 ml",5,74.99,74.99,/bandi-aksamitnie-nawilzajacy-krem-do-twarzy-50-ml-000000000000412782.html,nawilżający,"Aqua/Water, Coco-Caprylate/Caprate, Propanediol, Tripelargonin, Squalane, Dimethicone, Sclerocarya Birrea Seed Oil, Coconut Alkanes, Arachidyl Alcohol, Cucurbitaceae (Gourd) Extract, Vegetable Collagen, Acetyl Hexapeptide-1, Troxerutin, Butyrospermum Parkii (Shea) Butter, Glycerin, Pyrus Malus (Apple) Juice, Prunus Persica (Peach) Juice, Triticum Vulgare (Wheat) Seed Extract, Hordeum Vulgare Seed Extract, Panax Ginseng Root Extract, Lactococcus Ferment Extract, Leuconostoc/Radish Root Ferment Filtrate, Lactobacillus/Brassica Nigra Seed Ferment Extract, Pentylene Glycol, Allantoin, Behenyl Alcohol, Arachidyl Glucoside, Glyceryl Caprylate, Glyceryl Undecylenate Dilinoleic Acid/Propanediol Copolymer, Pentaerythrityl Distearate, Sodium Stearoyl Glutamate, Polysilicone-11, Sodium Polyacrylate, Caprylyl Glycol, Decyl Glucoside, Hexylene Glycol, Parfum/Fragrance, Phenoxyethanol, Ethylhexylglycerin, Citral, Citronellol, Limonene, Linalool",5.0,50.0,149.98,149.98,Bandi,0.0,"water,water, coco - caprylate,caprate, propanediol, tripelargonin, squalane, dimethicone, sclerocarya birrea seed oil, coconut alkanes, arachidyl alcohol, cucurbitaceae (gourd) extract, vegetable collagen, acetyl hexapeptide-1, troxerutin, butyrospermum parkii (shea) butter, glycerin, pyrus malus (apple) juice, prunus persica (peach) juice, triticum vulgare (wheat) seed extract, hordeum vulgare seed extract, panax ginseng root extract, lactococcus ferment extract, leuconostoc,radish root ferment filtrate, lactobacillus,brassica nigra seed ferment extract, pentylene glycol, allantoin, behenyl alcohol, arachidyl glucoside, glyceryl caprylate, glyceryl undecylenate dilinoleic acid,propanediol copolymer, pentaerythrityl distearate, sodium stearoyl glutamate, polysilicone-11, sodium polyacrylate, caprylyl glycol, decyl glucoside, hexylene glycol, parfum,fragrance, phenoxyethanol, ethylhexylglycerin, citral, citronellol, limonene, linalool"
Eveline Cosmetics,"nawilżający krem z SPF50 do twarzy, 30 ml",10,34.99,34.99,/eveline-cosmetics-nawilzajacy-krem-z-spf50-do-twarzy-30-ml-000000000000447778.html,nawilżający,"Aqua (Water)
Ethylhexyl Methoxycinnamate
Ethylhexyl Salicylate
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano)
C12-15 Alkyl Benzoate
Ceteareth-20
Cetyl Alcohol
Dicaprylyl Ether
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine
Diethylamino Hydroxybenzoyl Hexyl Benzoate
Tris-Biphenyl Triazine (nano)
Glyceryl Stearate
PEG-100 Stearate
Caprylic/Capric Triglyceride
Isopropyl Palmitate
Glycerin
Decyl Glucoside
Aloe Barbadensis Leaf Juice
Glycine Soja Oil
Niacinamide
Sodium Hyaluronate
Resveratrol
Tocopherol
Tocopheryl Acetate
Ascorbyl Glucoside
Hydroxypropyl Cyclodextrin
Cyclodextrin
Polydextrose
Lecithin
Carnitine
Ubiquinone
Phenoxyethanol
Hydroxyacetophenone
Ethylhexylglycerin
Potassium Sorbate
Sodium Benzoate
Hydrolyzed Wheat Protein/PVP Crosspolymer
Sodium Polyacrylate
Xanthan Gum
Acrylates/C10-30 Alkyl Acrylate Crosspolymer
Disodium Phosphate
Triethanolamine
Propylene Glycol
Butylene Glycol
Sodium Citrate
Trisodium EDTA
BHT
Citric Acid
Disodium EDTA
Parfum (Fragrance)
Benzyl Salicylate
Citronellol
Limonene
Hexyl Cinnamal
Linalool.",4.3,30.0,116.63,116.63,Eveline Cosmetics,0.0,"water (water) 
 ethylhexyl methoxycinnamate 
 ethylhexyl salicylate 
 methylene bis - benzotriazolyl tetramethylbutylphenol (nano) 
 c12 - 15 alkyl benzoate 
 ceteareth-20 
 cetyl alcohol 
 dicaprylyl ether 
 bis - ethylhexyloxyphenol methoxyphenyl triazine 
 diethylamino hydroxybenzoyl hexyl benzoate 
 tris - biphenyl triazine (nano) 
 glyceryl stearate 
 peg-100 stearate 
 caprylic,capric triglyceride 
 isopropyl palmitate 
 glycerin 
 decyl glucoside 
 aloe barbadensis leaf juice 
 glycine soja oil 
 niacinamide 
 sodium hyaluronate 
 resveratrol 
 tocopherol 
 tocopheryl acetate 
 ascorbyl glucoside 
 hydroxypropyl cyclodextrin 
 cyclodextrin 
 polydextrose 
 lecithin 
 carnitine 
 ubiquinone 
 phenoxyethanol 
 hydroxyacetophenone 
 ethylhexylglycerin 
 potassium sorbate 
 sodium benzoate 
 hydrolyzed wheat protein,pvp crosspolymer 
 sodium polyacrylate 
 xanthan gum 
 acrylates,c10 - 30 alkyl acrylate crosspolymer 
 disodium phosphate 
 triethanolamine 
 propylene glycol 
 butylene glycol 
 sodium citrate 
 trisodium edta 
 bht 
 citric acid 
 disodium edta 
 parfum (fragrance) 
 benzyl salicylate 
 citronellol 
 limonene 
 hexyl cinnamal 
 linalool."
Ziaja Baltic Home Spa Welness,"lekki krem liftingujący do twarzy, 50 ml",9,12.29,12.29,/ziaja-lekki-krem-liftingujacy-do-twarzy-50-ml-000000000000415349.html,"Liftingujące,
Nawilżające,
Uelastyczniające,
Wygładzające","Aqua (Water), Tripelargonin (C8-C12 Acid Triglyceride), Glycerin, Cetearyl Alcohol, Shea Butter Ethyl Esters, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Ceteareth-20, Dimethicone, Hydrogenated Coco-Glycerides, Methylsilanol Hydroxyproline Aspartate, Propylene Glycol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Cacao (Cocoa) Seed Butter, Caprylic/Capric Triglyceride, Himanthalia Elongata Extract, CI 77891 (Titanium Dioxide), Mica, Tin Oxide, Sodium Polyacrylate, Phenoxyethanol, Ethylhexylglycerin, Parfum (Fragrance), Linalool, Benzyl Benzoate, Hexyl Cinnamal, Limonene, Geraniol, Citric Acid. Podana lista składników jest zgodna z aktualnym stanem wytwarzania na 2020-11",5.0,50.0,24.58,24.58,Ziaja,0.0,"water (water), tripelargonin (c8-c12acidtriglyceride), glycerin, cetearyl alcohol, shea butter ethyl esters, prunus amygdalus dulcis (sweetalmond) seed extract, ceteareth-20, dimethicone, hydrogenate coco - glyceride, methylsilanol hydroxyproline aspartate, propylene glycol, prunus amygdalus dulcis (sweetalmond) oil, theobroma cacao (cocoa) seed butter, caprylic,capric triglyceride, himanthalia elongata extract, ci 77891 (titaniumdioxide), mica, tin oxide, sodium polyacrylate, phenoxyethanol, ethylhexylglycerin, parfum (fragrance), linalool, benzyl benzoate, hexyl cinnamal, limonene, geraniol, citric acid. podana lista składników jest zgodna z aktualnym stanem wytwarzania na 2020 - 11"
Bandi Hydro Care,"całonocna kuracja nawilżająco-łagodząca do twarzy, 75 ml",11,74.99,74.99,/bandi-calonocna-kuracja-nawilzajaco-lagodzaca-do-twarzy-75-ml-000000000000363880.html,nawilżający,"Aqua/Water, Glycerin, Macadamia Ternifolia Seed Oil, Cetearyl Alcohol, Ethylhexyl Stearate, Isohexadecane, Cyclohexasiloxane, Dimethicone, Glyceryl Stearate, Squalane, Panthenol, Allantoin, Arnica Montana Flower Extract, Aesculus Hippocastanum Bark Extract, Triticum Vulgare (Wheat) Germ Extract, Saccharomyces Cerevisiae Extract, Sodium Hyaluronate, Propylene Glycol, Disteardimonium Hectorite, Ceteareth-20, Propylene Carbonate, Disodium EDTA, Disodium Cocoamphodiacetate, PVP, Sodium Metabisulfite, Pantolactone, Ethylhexylglycerin, Sodium Hydroxide, Parfum/Fragrance, Phenoxyethanol, Caprylhydroxamic Acid, Methylpropanediol",4.5,75.0,99.99,99.99,Bandi,0.0,"water,water, glycerin, macadamia ternifolia seed oil, cetearyl alcohol, ethylhexyl stearate, isohexadecane, cyclohexasiloxane, dimethicone, glyceryl stearate, squalane, panthenol, allantoin, arnica montana flower extract, aesculus hippocastanum bark extract, triticum vulgare (wheat) germ extract, saccharomyce cerevisiae extract, sodium hyaluronate, propylene glycol, disteardimonium hectorite, ceteareth-20, propylene carbonate, disodium edta, disodium cocoamphodiacetate, pvp, sodium metabisulfite, pantolactone, ethylhexylglycerin, sodium hydroxide, parfum,fragrance, phenoxyethanol, caprylhydroxamic acid, methylpropanediol"
Iwostin Purritin,"krem BB do twarzy SPF50+, 30 ml",5,49.99,49.99,/iwostin-krem-bb-do-twarzy-spf50-30-ml-000000000000384828.html,ochrona UV,"Aqua,Dicaprylyl Carbonate,C12-15 Alkyl Benzoate,Ethylhexyl Methoxycinnamate,Titanium Dioxide,Glycerin,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Butyl Methoxydibenzoylmethane,Potassium Cetyl Phosphate,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano),Caprylic/Capric Triglyceride,Hydrogenated Polydecene,VP/Eicosene Copolymer,Cetearyl Alcohol,Aluminum Starch Octenylsuccinate,Methyl Methacrylate Crosspolymer,Phenoxyethanol,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Isononyl Isononanoate,Squalane,Hydroxystearic Acid,Tocopheryl Acetate,Decyl Glucoside,Panthenol,Dimethicone,Sodium PCA,Disodium EDTA,Polysorbate 60,Ethylhexylglycerin,Laminaria Ochroleuca Extract,Parfum,Ethylene/Propylene/Styrene Copolymer,Triethoxycaprylylsilane,Sorbitan Oleate,Sorbitan Isostearate,Magnesium PCA,PEG-8,Zinc PCA,Propylene Glycol,Tocopherol,Xanthan Gum,Sodium Hyaluronate,Pantolactone,Manganese PCA,Ascorbyl Palmitate,BHT,Potassium Sorbate,Ascorbic Acid,Citric Acid,Alumina,Magnesium Oxide,CI 77492,CI 77491,CI 77499",4.3,30.0,166.63,166.63,Iwostin,0.0,"water, dicaprylyl carbonate, c12 - 15 alkyl benzoate, ethylhexyl methoxycinnamate, titanium dioxide, glycerin, bis - ethylhexyloxyphenol methoxyphenyl triazine, butyl methoxydibenzoylmethane, potassium cetyl phosphate, methylene bis - benzotriazolyl tetramethylbutylphenol (nano),caprylic,capric triglyceride, hydrogenated polydecene, vp,eicosene copolymer, cetearyl alcohol, aluminum starch octenylsuccinate, methyl methacrylate crosspolymer, phenoxyethanol, hydroxyethyl acrylate,sodium acryloyldimethyl taurate copolymer, isononyl isononanoate, squalane, hydroxystearic acid, tocopheryl acetate, decyl glucoside, panthenol, dimethicone, sodium pca, disodium edta, polysorbate 60,ethylhexylglycerin, laminaria ochroleuca extract, parfum, ethylene,propylene,styrene copolymer, triethoxycaprylylsilane, sorbitan oleate, sorbitan isostearate, magnesium pca, peg-8,zinc pca, propylene glycol, tocopherol, xanthan gum, sodium hyaluronate, pantolactone, manganese pca, ascorbyl palmitate, bht, potassium sorbate, ascorbic acid, citric acid, alumina, magnesium oxide, ci 77492,ci 77491,ci 77499"
Ava Red Wine,"krem do twarzy na dzień, 50 ml",6,34.99,34.99,/ava-krem-do-twarzy-na-dzien-50-ml-000000000000379323.html,"Liftingujące,
Odżywcze,
Pielęgnujące,
Przeciwstarzeniowe,
Uelastyczniające","Aqua, Isopropyl Myristate, Glyceryl Stearate, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Cocos Nucifera Oil, Vitis Vinifera Seed Oil, Propanediol, Butyrospermum Parkii Butter, Prunus Amygdalus Dulcis Oil, Vitis Vinifera Vine Extract, Vitis Vinifera Seed Extract, Trifolium Pratense Extract, Beta Sistosterol, Squalene, Glycine Soja Oil, Tocopherol, Xanthan Gum, Olus Oil, Ceteareth-20, Ceteareth-12, Cetyl Palmitate, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Parfum",4.7,50.0,69.98,69.98,Ava,0.0,"water, isopropyl myristate, glyceryl stearate, caprylic,capric triglyceride, glycerin, cetearyl alcohol, cocos nucifera oil, vitis vinifera seed oil, propanediol, butyrospermum parkii butter, prunus amygdalus dulcis oil, vitis vinifera vine extract, vitis vinifera seed extract, trifolium pratense extract, beta sistosterol, squalene, glycine soja oil, tocopherol, xanthan gum, olus oil, ceteareth-20, ceteareth-12, cetyl palmitate, phenoxyethanol, ethylhexylglycerin, citric acid, sodium benzoate, potassium sorbate, parfum"
Herla Hydra Plants Limited Edition,"krem do twarzy na noc, 50 ml",60,39.99,139.99,/herla-krem-do-twarzy-na-noc-50-ml-000000000000408163.html,"Nawilżające,
Przeciwstarzeniowe","Aqua, Isoamyl Laurate, Glycerin, Dicaprylyl Carbonate, Glyceryl Stearate, Simmondsia Chinensis Seed Oil, Sodium Stearoyl Glutamate, Cetearyl Alcohol, Vitis Vinifera Seed Oil, Butyrospermum Parkii Butter, Sclerocarya Birrea Kernel Oil, Hydrogenated Ethylhexyl Olivate, Isopropyl Isostearate, Sodium Polyacrylate, Parfum, Rubus Idaeus Fruit Extract, Fragaria Ananassa Fruit Extract, Actinidia Chinensis Fruit Extract, Pyrus Malus Fruit Extract, Prunus Persica Fruit Extract, Carica Papaya Fruit Extract, Cucumis Sativus Fruit Extract, Xylitylglucoside, Anhydroxylitol, Xylitol, Helianthus Annus Seed Oil, Hydrogenated Olive Oil Unsaponifiables, Sodium Hyaluronate, Persea Gratissima Butter, Isoamyl Cocoate, Trehalose, Allantoin, Tocopherol (mixed), Beta-Sitosterol, Squalene, Xanthan Gum, Hydroxyacetophenone, 1,2-Hexanediol, Caprylyl Glycol, Disodium EDTA.",4.9,50.0,279.98,79.98,Herla,71.43367383384526,"water, isoamyl laurate, glycerin, dicaprylyl carbonate, glyceryl stearate, simmondsia chinensis seed oil, sodium stearoyl glutamate, cetearyl alcohol, vitis vinifera seed oil, butyrospermum parkii butter, sclerocarya birrea kernel oil, hydrogenate ethylhexyl olivate, isopropyl isostearate, sodium polyacrylate, parfum, rubus idaeus fruit extract, fragaria ananassa fruit extract, actinidia chinensis fruit extract, pyrus malus fruit extract, prunus persica fruit extract, carica papaya fruit extract, cucumis sativus fruit extract, xylitylglucoside, anhydroxylitol, xylitol, helianthus annus seed oil, hydrogenate olive oil unsaponifiable, sodium hyaluronate, persea gratissima butter, isoamyl cocoate, trehalose, allantoin, tocopherol (mixed), beta - sitosterol, squalene, xanthan gum, hydroxyacetophenone, 1,2 - hexanediol, caprylyl glycol, disodium edta."
Tołpa Dermo Men Hydro,"intensywnie nawilżający wodny żel, 75 ml",7,27.29,38.99,/tolpa-intensywnie-nawilzajacy-wodny-zel-75-ml-000000000000362554.html,nawilżający,"Aqua, Alcohol Denat., Hydroxyethyl Urea, Olive Oil Polyglyceryl-4 Esters, Parfum, Panthenol, Aesculus Hippocastanum Seed Extract, Triticum Vulgare Germ Extract, Saccharomyces Cerevisiae Extract, Sodium Hyaluronate, Disodium Cocoamphodiacetate, PVP, Pantolactone, Carbomer, Polysorbate 20, Peat Extract, Disodium EDTA, Sodium Metabisulfite, Ethylhexylglycerin, Sodium Hydroxide, Methylpropanediol, Benzoic Acid, Phenoxyethanol, Caprylyl Glycol.",5.0,75.0,51.99,36.39,Tołpa,30.007694280584772,"water, alcohol denat., hydroxyethyl urea, olive oil polyglyceryl-4 ester, parfum, panthenol, aesculus hippocastanum seed extract, triticum vulgare germ extract, saccharomyce cerevisiae extract, sodium hyaluronate, disodium cocoamphodiacetate, pvp, pantolactone, carbomer, polysorbate 20, peat extract, disodium edta, sodium metabisulfite, ethylhexylglycerin, sodium hydroxide, methylpropanediol, benzoic acid, phenoxyethanol, caprylyl glycol."
Tołpa Dermo Face Rosacal,"regenerujący krem wzmacniający, noc, 40 ml",23,47.99,47.99,/tolpa-regenerujacy-krem-do-twarzy-na-noc-40ml-000000000000241811.html,regenerujący,"Aqua, C12-15 Alkyl Benzoate, Glycerin, Cetearyl Alcohol, Butyrospermum Parkii Butter, Caprylic/Capric Triglyceride, Hexyldecanol, Peat Extract, Ceteareth-20, Parfum, Sea Water, Sodium Polyacrylate, Cucurbita Pepo Seed Extract, Hibiscus Esculentus Seed Extract, Sophora Japonica Flower Extract, Hedera Helix Extract, Arnica Montana Flower Extract, Hamamelis Virginiana Extract, Hypericum Perforatum Flower Extract, Aesculus Hippocastanum Seed Extract, Vitis Vinifera Leaf Extract, Argania Spinosa Kernel Extract, Hydrolyzed Soy Protein, Isohexadecane, Tetrasodium EDTA, Propylene Glycol, Sodium Cocoyl Glutamate, Potassium Phosphate, Carbomer, Sodium Hydroxide, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysorbate 80, Sorbitan Oleate, Citric Acid, Caprylyl Glycol, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Methylpropanediol, Benzoic Acid",4.200000000000001,40.0,119.98,119.98,Tołpa,0.0,"water, c12 - 15 alkyl benzoate, glycerin, cetearyl alcohol, butyrospermum parkii butter, caprylic,capric triglyceride, hexyldecanol, peat extract, ceteareth-20, parfum, sea water, sodium polyacrylate, cucurbita pepo seed extract, hibiscus esculentus seed extract, sophora japonica flower extract, hedera helix extract, arnica montana flower extract, hamamelis virginiana extract, hypericum perforatum flower extract, aesculus hippocastanum seed extract, vitis vinifera leaf extract, argania spinosa kernel extract, hydrolyzed soy protein, isohexadecane, tetrasodium edta, propylene glycol, sodium cocoyl glutamate, potassium phosphate, carbomer, sodium hydroxide, sodium acrylate,sodium acryloyldimethyl taurate copolymer, polysorbate 80, sorbitan oleate, citric acid, caprylyl glycol, phenoxyethanol, potassium sorbate, sodium benzoate, methylpropanediol, benzoic acid"
